fra;strate2;jour;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-06-16;1;;0;0;0;0
FR;0;2020-06-16;2;;0;0;0;0
FR;0;2020-06-17;0;0.250316639373958;0.87461825781258;0.13409819966462;11.1346205121523;0.888028077779042
FR;0;2020-06-17;1;;0;0;0;0
FR;0;2020-06-17;2;;0;0;0;0
FR;0;2020-06-18;0;0.236906819407496;0.864188397838665;0.126648299683253;10.8336445529051;0.852268557868476
FR;0;2020-06-18;1;;0;0;0;0
FR;0;2020-06-18;2;;0;0;0;0
FR;0;2020-06-19;0;0.224986979437308;0.862698417842391;0.113238479716791;10.5430984536317;0.813529077965364
FR;0;2020-06-19;1;;0;0;0;0
FR;0;2020-06-19;2;;0;0;0;0
FR;0;2020-06-20;0;0.22200701944476;0.883558137790221;0.105788579735423;10.2167928344478;0.789689398024987
FR;0;2020-06-20;1;;0;0;0;0
FR;0;2020-06-20;2;;0;0;0;0
FR;0;2020-06-21;0;0.211577159470846;0.8790881978014;0.10876853972797;10.2182828144441;0.78670943803244
FR;0;2020-06-21;1;;0;0;0;0
FR;0;2020-06-21;2;;0;0;0;0
FR;0;2020-06-22;0;0.187737479530469;0.865678377834938;0.104298599739149;10.2495723943658;0.795649318010081
FR;0;2020-06-22;1;;0;0;0;0
FR;0;2020-06-22;2;;0;0;0;0
FR;0;2020-06-23;0;0.187737479530469;0.838858737902014;0.0864188397838665;9.92773671517073;0.755419858110695
FR;0;2020-06-23;1;;0;0;0;0
FR;0;2020-06-23;2;;0;0;0;0
FR;0;2020-06-24;0;0.189227459526742;0.828428877928099;0.0953587197615078;9.66848019581913;0.728600218177771
FR;0;2020-06-24;1;;0;0;0;0
FR;0;2020-06-24;2;;0;0;0;0
FR;0;2020-06-25;0;0.187737479530469;0.813529077965364;0.105788579735423;9.44647317637437;0.712210438218762
FR;0;2020-06-25;1;;0;0;0;0
FR;0;2020-06-25;2;;0;0;0;0
FR;0;2020-06-26;0;0.180287579549101;0.810549117972817;0.114728459713064;9.16635693707494;0.689860738274658
FR;0;2020-06-26;1;;0;0;0;0
FR;0;2020-06-26;2;;0;0;0;0
FR;0;2020-06-27;0;0.17581763956028;0.780749518047345;0.117708419705611;8.90710041772334;0.666021058334281
FR;0;2020-06-27;1;;0;0;0;0
FR;0;2020-06-27;2;;0;0;0;0
FR;0;2020-06-28;0;0.153467939616177;0.764359738088336;0.123668339690705;8.8981605377457;0.676450918308196
FR;0;2020-06-28;1;;0;0;0;0
FR;0;2020-06-28;2;;0;0;0;0
FR;0;2020-06-29;0;0.153467939616177;0.755419858110695;0.116218439709338;8.96073969758919;0.680920858297017
FR;0;2020-06-29;1;;0;0;0;0
FR;0;2020-06-29;2;;0;0;0;0
FR;0;2020-06-30;0;0.147508019631082;0.736050118159139;0.120688379698158;8.78641203802518;0.654101218364093
FR;0;2020-06-30;1;;0;0;0;0
FR;0;2020-06-30;2;;0;0;0;0
FR;0;2020-07-01;0;0.13409819966462;0.727110238181497;0.114728459713064;8.51076573871457;0.619831678449801
FR;0;2020-07-01;1;;0;0;0;0
FR;0;2020-07-01;2;;0;0;0;0
FR;0;2020-07-02;0;0.128138279679526;0.707740498229941;0.104298599739149;8.29769859924746;0.601951918494518
FR;0;2020-07-02;1;;0;0;0;0
FR;0;2020-07-02;2;;0;0;0;0
FR;0;2020-07-03;0;0.105788579735423;0.683900818289564;0.098338679754055;8.08463145978034;0.578112238554141
FR;0;2020-07-03;1;;0;0;0;0
FR;0;2020-07-03;2;;0;0;0;0
FR;0;2020-07-04;0;0.105788579735423;0.688370758278385;0.0968486997577814;7.92222364018652;0.564702418587679
FR;0;2020-07-04;1;;0;0;0;0
FR;0;2020-07-04;2;;0;0;0;0
FR;0;2020-07-05;0;0.113238479716791;0.676450918308196;0.0893987997764136;7.9177537001977;0.572152318569047
FR;0;2020-07-05;1;;0;0;0;0
FR;0;2020-07-05;2;;0;0;0;0
FR;0;2020-07-06;0;0.114728459713064;0.680920858297017;0.0938687397652343;7.96543306007845;0.582582178542962
FR;0;2020-07-06;1;;0;0;0;0
FR;0;2020-07-06;2;;0;0;0;0
FR;0;2020-07-07;0;0.104298599739149;0.673470958315649;0.105788579735423;7.79855530049581;0.572152318569047
FR;0;2020-07-07;1;;0;0;0;0
FR;0;2020-07-07;2;;0;0;0;0
FR;0;2020-07-08;0;0.104298599739149;0.642181378393904;0.105788579735423;7.63167754091317;0.54831263862867
FR;0;2020-07-08;1;;0;0;0;0
FR;0;2020-07-08;2;;0;0;0;0
FR;0;2020-07-09;0;0.104298599739149;0.671980978319376;0.105788579735423;7.52737894117402;0.539372758651029
FR;0;2020-07-09;1;;0;0;0;0
FR;0;2020-07-09;2;;0;0;0;0
FR;0;2020-07-10;0;0.113238479716791;0.706250518233667;0.111748499720517;7.39179076151313;0.530432878673387
FR;0;2020-07-10;1;;0;0;0;0
FR;0;2020-07-10;2;;0;0;0;0
FR;0;2020-07-11;0;0.105788579735423;0.700290598248573;0.10876853972797;7.21448314195658;0.512553118718105
FR;0;2020-07-11;1;;0;0;0;0
FR;0;2020-07-11;2;;0;0;0;0
FR;0;2020-07-12;0;0.102808619742876;0.707740498229941;0.107278559731696;7.21448314195658;0.505103218736737
FR;0;2020-07-12;1;;0;0;0;0
FR;0;2020-07-12;2;;0;0;0;0
FR;0;2020-07-13;0;0.111748499720517;0.747969958129327;0.114728459713064;7.30537192172926;0.515533078710652
FR;0;2020-07-13;1;;0;0;0;0
FR;0;2020-07-13;2;;0;0;0;0
FR;0;2020-07-14;0;0.105788579735423;0.736050118159139;0.110258519724243;7.17872362204601;0.503613238740463
FR;0;2020-07-14;1;;0;0;0;0
FR;0;2020-07-14;2;;0;0;0;0
FR;0;2020-07-15;0;0.104298599739149;0.785219458036166;0.117708419705611;7.26216250183733;0.520003018699472
FR;0;2020-07-15;1;;0;0;0;0
FR;0;2020-07-15;2;;0;0;0;0
FR;0;2020-07-16;0;0.098338679754055;0.795649318010081;0.128138279679526;7.13849416214663;0.509573158725558
FR;0;2020-07-16;1;;0;0;0;0
FR;0;2020-07-16;2;;0;0;0;0
FR;0;2020-07-17;0;0.0953587197615078;0.803099217991449;0.128138279679526;7.02674566242611;0.485733478785181
FR;0;2020-07-17;1;;0;0;0;0
FR;0;2020-07-17;2;;0;0;0;0
FR;0;2020-07-18;0;0.101318639746602;0.81203909796909;0.141548099645988;6.85390798285838;0.484243498788907
FR;0;2020-07-18;1;;0;0;0;0
FR;0;2020-07-18;2;;0;0;0;0
FR;0;2020-07-19;0;0.102808619742876;0.800119257998902;0.140058119649715;6.81367852295899;0.473813638814992
FR;0;2020-07-19;1;;0;0;0;0
FR;0;2020-07-19;2;;0;0;0;0
FR;0;2020-07-20;0;0.0968486997577814;0.801609237995175;0.131118239672073;6.91201720271304;0.479773558800086
FR;0;2020-07-20;1;;0;0;0;0
FR;0;2020-07-20;2;;0;0;0;0
FR;0;2020-07-21;0;0.101318639746602;0.843328677890835;0.135588179660894;6.82261840293663;0.48126353879636
FR;0;2020-07-21;1;;0;0;0;0
FR;0;2020-07-21;2;;0;0;0;0
FR;0;2020-07-22;0;0.0923787597689607;0.835878777909467;0.128138279679526;6.61998112344343;0.458913838852257
FR;0;2020-07-22;1;;0;0;0;0
FR;0;2020-07-22;2;;0;0;0;0
